Family,Gene_ID
BAZ2B,gene-SMTH1_LOCUS10667
BCOR,gene-SMTH1_LOCUS10644
BCORL1,gene-SMTH1_LOCUS10644
BMI1,gene-SMTH1_LOCUS9985
BPTF,gene-SMTH1_LOCUS7735
BPTF,gene-SMTH1_LOCUS6820
BPTF,gene-SMTH1_LOCUS10667
BPTF,gene-SMTH1_LOCUS447
BRCC3,gene-SMTH1_LOCUS9807
BRD1,gene-SMTH1_LOCUS7735
BRD1,gene-SMTH1_LOCUS4232
BRD1,gene-SMTH1_LOCUS9781
BRD1,gene-SMTH1_LOCUS8051
BRD1,gene-SMTH1_LOCUS9781
BRD2,gene-SMTH1_LOCUS7735
BRD3,gene-SMTH1_LOCUS7735
BRD4,gene-SMTH1_LOCUS7735
BRD7,gene-SMTH1_LOCUS7735
BRD7,gene-SMTH1_LOCUS2377
BRD8,gene-SMTH1_LOCUS7735
BRD9,gene-SMTH1_LOCUS7735
BRD9,gene-SMTH1_LOCUS2377
BRDT,gene-SMTH1_LOCUS7735
BRMS1,gene-SMTH1_LOCUS3985
BRMS1L,gene-SMTH1_LOCUS3985
BRPF1,gene-SMTH1_LOCUS7735
BRPF1,gene-SMTH1_LOCUS4232
BRPF1,gene-SMTH1_LOCUS9781
BRPF1,gene-SMTH1_LOCUS8051
BRPF1,gene-SMTH1_LOCUS9781
BRPF3,gene-SMTH1_LOCUS7735
BRPF3,gene-SMTH1_LOCUS4232
BRPF3,gene-SMTH1_LOCUS9781
BRPF3,gene-SMTH1_LOCUS8051
BRPF3,gene-SMTH1_LOCUS9781
BRWD1,gene-SMTH1_LOCUS7735
BRWD1,gene-SMTH1_LOCUS10588
BRWD3,gene-SMTH1_LOCUS7735
BRWD3,gene-SMTH1_LOCUS10588
BUB1,gene-SMTH1_LOCUS3345
BUB1,gene-SMTH1_LOCUS10630
C11orf30,gene-SMTH1_LOCUS3670
C14orf169,gene-SMTH1_LOCUS10602
CBLL1,gene-SMTH1_LOCUS5114
CBX1,gene-SMTH1_LOCUS10167
CBX1,gene-SMTH1_LOCUS4348
CBX2,gene-SMTH1_LOCUS10167
CBX3,gene-SMTH1_LOCUS10167
CBX3,gene-SMTH1_LOCUS4348
CBX4,gene-SMTH1_LOCUS10167
CBX5,gene-SMTH1_LOCUS10167
CBX5,gene-SMTH1_LOCUS4348
CBX6,gene-SMTH1_LOCUS10167
CBX7,gene-SMTH1_LOCUS10167
CBX8,gene-SMTH1_LOCUS10167
CCDC101,gene-SMTH1_LOCUS2902
CDC6,gene-SMTH1_LOCUS10541
CDC6,gene-SMTH1_LOCUS10092
CDC73,gene-SMTH1_LOCUS2211
CDK1,gene-SMTH1_LOCUS10630
CDK17,gene-SMTH1_LOCUS10630
CDK2,gene-SMTH1_LOCUS10630
CDK3,gene-SMTH1_LOCUS10630
CDK5,gene-SMTH1_LOCUS10630
CDK7,gene-SMTH1_LOCUS10630
CDK9,gene-SMTH1_LOCUS10630
CDY1,gene-SMTH1_LOCUS10167
CDY1,gene-SMTH1_LOCUS9422
CDY1B,gene-SMTH1_LOCUS10167
CDY1B,gene-SMTH1_LOCUS9422
CDY2A,gene-SMTH1_LOCUS10167
CDY2A,gene-SMTH1_LOCUS9422
CDY2B,gene-SMTH1_LOCUS10167
CDY2B,gene-SMTH1_LOCUS9422
CDYL,gene-SMTH1_LOCUS10167
CDYL,gene-SMTH1_LOCUS9422
CDYL2,gene-SMTH1_LOCUS10167
CDYL2,gene-SMTH1_LOCUS9422
CECR2,gene-SMTH1_LOCUS7735
CELF1,gene-SMTH1_LOCUS10660
CELF2,gene-SMTH1_LOCUS10660
CELF3,gene-SMTH1_LOCUS10660
CELF4,gene-SMTH1_LOCUS10660
CELF5,gene-SMTH1_LOCUS10660
CELF6,gene-SMTH1_LOCUS10660
CHD1,gene-SMTH1_LOCUS10167
CHD1,gene-SMTH1_LOCUS6177
CHD1,gene-SMTH1_LOCUS10333
CHD1,gene-SMTH1_LOCUS10167
CHD1L,gene-SMTH1_LOCUS10333
CHD1L,gene-SMTH1_LOCUS10167
CHD2,gene-SMTH1_LOCUS10167
CHD2,gene-SMTH1_LOCUS6177
CHD2,gene-SMTH1_LOCUS10333
CHD2,gene-SMTH1_LOCUS10167
CHD6,gene-SMTH1_LOCUS10660
CHD6,gene-SMTH1_LOCUS10167
CHD6,gene-SMTH1_LOCUS10333
CHD6,gene-SMTH1_LOCUS10167
CHD7,gene-SMTH1_LOCUS10660
CHD7,gene-SMTH1_LOCUS10167
CHD7,gene-SMTH1_LOCUS10333
CHD7,gene-SMTH1_LOCUS10167
CHD8,gene-SMTH1_LOCUS10660
CHD8,gene-SMTH1_LOCUS10167
CHD8,gene-SMTH1_LOCUS10333
CHD8,gene-SMTH1_LOCUS10167
CHD9,gene-SMTH1_LOCUS10660
CHD9,gene-SMTH1_LOCUS10167
CHD9,gene-SMTH1_LOCUS10333
CHD9,gene-SMTH1_LOCUS10167
CHEK1,gene-SMTH1_LOCUS10630
CHRAC1,gene-SMTH1_LOCUS10472
CIT,gene-SMTH1_LOCUS4589
CIT,gene-SMTH1_LOCUS10630
CIT,gene-SMTH1_LOCUS9792
CLNS1A,gene-SMTH1_LOCUS10528
CLOCK,gene-SMTH1_LOCUS9992
CLOCK,gene-SMTH1_LOCUS10251
CLOCK,gene-SMTH1_LOCUS9992
CRB2,gene-SMTH1_LOCUS9903
CRB2,gene-SMTH1_LOCUS10438
CRB2,gene-SMTH1_LOCUS9903
CSNK2A1,gene-SMTH1_LOCUS10630
CSRP2BP,gene-SMTH1_LOCUS10447
CTBP1,gene-SMTH1_LOCUS4192
CTBP1,gene-SMTH1_LOCUS8561
CTBP2,gene-SMTH1_LOCUS4192
CTBP2,gene-SMTH1_LOCUS8561
CTCF,gene-SMTH1_LOCUS10615
CTCF,gene-SMTH1_LOCUS10615
CTCF,gene-SMTH1_LOCUS10615
CTCFL,gene-SMTH1_LOCUS10615
CTCFL,gene-SMTH1_LOCUS10615
CTR9,gene-SMTH1_LOCUS10675
CTR9,gene-SMTH1_LOCUS10675
CUL1,gene-SMTH1_LOCUS8624
CUL1,gene-SMTH1_LOCUS8624
CUL2,gene-SMTH1_LOCUS8624
CUL2,gene-SMTH1_LOCUS8624
CUL3,gene-SMTH1_LOCUS8624
CUL3,gene-SMTH1_LOCUS8624
CUL4A,gene-SMTH1_LOCUS8624
CUL4A,gene-SMTH1_LOCUS8624
CUL4B,gene-SMTH1_LOCUS8624
CUL4B,gene-SMTH1_LOCUS8624
CUL5,gene-SMTH1_LOCUS8624
CUL5,gene-SMTH1_LOCUS8624
CXXC1,gene-SMTH1_LOCUS10667
CXXC1,gene-SMTH1_LOCUS3702
CXXC1,gene-SMTH1_LOCUS6647
DAPK3,gene-SMTH1_LOCUS10630
DDB1,gene-SMTH1_LOCUS8582
DDB1,gene-SMTH1_LOCUS8582
DDB2,gene-SMTH1_LOCUS10588
DDX17,gene-SMTH1_LOCUS10333
DDX17,gene-SMTH1_LOCUS10333
DDX21,gene-SMTH1_LOCUS10333
DDX21,gene-SMTH1_LOCUS9553
DDX21,gene-SMTH1_LOCUS10333
DDX50,gene-SMTH1_LOCUS10333
DDX50,gene-SMTH1_LOCUS9553
DDX50,gene-SMTH1_LOCUS10333
DEK,gene-SMTH1_LOCUS7429
DEK,gene-SMTH1_LOCUS10286
DHX9,gene-SMTH1_LOCUS10333
DHX9,gene-SMTH1_LOCUS7358
DHX9,gene-SMTH1_LOCUS6104
DHX9,gene-SMTH1_LOCUS10333
DHX9,gene-SMTH1_LOCUS6104
DMAP1,gene-SMTH1_LOCUS7141
DNAJC1,gene-SMTH1_LOCUS10559
DNAJC1,gene-SMTH1_LOCUS9735
DNAJC2,gene-SMTH1_LOCUS10559
DNAJC2,gene-SMTH1_LOCUS9735
DND1,gene-SMTH1_LOCUS5193
DND1,gene-SMTH1_LOCUS10660
DNMT3A,gene-SMTH1_LOCUS5842
DNMT3A,gene-SMTH1_LOCUS8051
DNMT3B,gene-SMTH1_LOCUS5842
DNMT3B,gene-SMTH1_LOCUS8051
DOT1L,gene-SMTH1_LOCUS7218
DPF1,gene-SMTH1_LOCUS10667
DPF1,gene-SMTH1_LOCUS3485
DPF2,gene-SMTH1_LOCUS10667
DPF2,gene-SMTH1_LOCUS3485
DPF3,gene-SMTH1_LOCUS10667
DPF3,gene-SMTH1_LOCUS3485
DPY30,gene-SMTH1_LOCUS10482
DR1,gene-SMTH1_LOCUS10472
DTX3L,gene-SMTH1_LOCUS9985
DZIP3,gene-SMTH1_LOCUS9985
EED,gene-SMTH1_LOCUS10588
EEF1AKMT3,gene-SMTH1_LOCUS9491
EEF1AKMT4,gene-SMTH1_LOCUS10577
EEF1AKNMT,gene-SMTH1_LOCUS10577
EHMT1,gene-SMTH1_LOCUS10644
EHMT1,gene-SMTH1_LOCUS10644
EHMT1,gene-SMTH1_LOCUS6689
EHMT1,gene-SMTH1_LOCUS10661
EHMT2,gene-SMTH1_LOCUS10644
EHMT2,gene-SMTH1_LOCUS6689
EHMT2,gene-SMTH1_LOCUS10661
EIF4A3,gene-SMTH1_LOCUS10333
EIF4A3,gene-SMTH1_LOCUS10333
ELP2,gene-SMTH1_LOCUS10588
ELP3,gene-SMTH1_LOCUS10447
ELP3,gene-SMTH1_LOCUS9456
ELP4,gene-SMTH1_LOCUS8283
ELP5,gene-SMTH1_LOCUS9490
ELP6,gene-SMTH1_LOCUS6733
ENY2,gene-SMTH1_LOCUS8423
EP400,gene-SMTH1_LOCUS9066
EP400,gene-SMTH1_LOCUS10333
EP400,gene-SMTH1_LOCUS10167
ERBB4,gene-SMTH1_LOCUS9405
ERBB4,gene-SMTH1_LOCUS9405
ERBB4,gene-SMTH1_LOCUS10630
ERBB4,gene-SMTH1_LOCUS9405
ERCC6,gene-SMTH1_LOCUS10333
ERCC6,gene-SMTH1_LOCUS10167
EXOSC2,gene-SMTH1_LOCUS7526
EXOSC4,gene-SMTH1_LOCUS9849
EXOSC4,gene-SMTH1_LOCUS8218
EXOSC5,gene-SMTH1_LOCUS9849
EXOSC5,gene-SMTH1_LOCUS8218
EXOSC6,gene-SMTH1_LOCUS9849
EXOSC7,gene-SMTH1_LOCUS9849
EXOSC7,gene-SMTH1_LOCUS8218
EXOSC8,gene-SMTH1_LOCUS9849
EXOSC8,gene-SMTH1_LOCUS8218
EXOSC9,gene-SMTH1_LOCUS9849
EXOSC9,gene-SMTH1_LOCUS8218
FBL,gene-SMTH1_LOCUS2822
GADD45A,gene-SMTH1_LOCUS8900
GADD45B,gene-SMTH1_LOCUS8900
GADD45G,gene-SMTH1_LOCUS8900
GATAD1,gene-SMTH1_LOCUS9337
GATAD2B,gene-SMTH1_LOCUS9337
GFI1B,gene-SMTH1_LOCUS10615
GFI1B,gene-SMTH1_LOCUS10615
GSG2,gene-SMTH1_LOCUS10630
GSG2,gene-SMTH1_LOCUS10630
GTF3C4,gene-SMTH1_LOCUS5589
GTF3C4,gene-SMTH1_LOCUS5589
HAT1,gene-SMTH1_LOCUS779
HCFC1,gene-SMTH1_LOCUS10244
HCFC1,gene-SMTH1_LOCUS10244
HCFC2,gene-SMTH1_LOCUS10244
HCFC2,gene-SMTH1_LOCUS10244
HCFC2,gene-SMTH1_LOCUS10244
HDAC1,gene-SMTH1_LOCUS6632
HDAC10,gene-SMTH1_LOCUS6632
HDAC11,gene-SMTH1_LOCUS6632
HDAC2,gene-SMTH1_LOCUS6632
HDAC3,gene-SMTH1_LOCUS6632
HDAC6,gene-SMTH1_LOCUS6632
HDAC6,gene-SMTH1_LOCUS9507
HDAC7,gene-SMTH1_LOCUS6632
HDAC8,gene-SMTH1_LOCUS6632
HDGF,gene-SMTH1_LOCUS8051
HDGFL2,gene-SMTH1_LOCUS8051
HDGFL2,gene-SMTH1_LOCUS8051
HELLS,gene-SMTH1_LOCUS10333
HELLS,gene-SMTH1_LOCUS10167
HIF1AN,gene-SMTH1_LOCUS8242
HINFP,gene-SMTH1_LOCUS10615
HINFP,gene-SMTH1_LOCUS10615
HINFP,gene-SMTH1_LOCUS10615
HIRA,gene-SMTH1_LOCUS6369
HIRA,gene-SMTH1_LOCUS6369
HIRA,gene-SMTH1_LOCUS10588
HMG20A,gene-SMTH1_LOCUS10655
HMG20B,gene-SMTH1_LOCUS10655
HMGB1,gene-SMTH1_LOCUS10655
HMGB1,gene-SMTH1_LOCUS10655
HNRNPU,gene-SMTH1_LOCUS10286
HNRNPU,gene-SMTH1_LOCUS10333
HNRPL,gene-SMTH1_LOCUS10660
HNRPL,gene-SMTH1_LOCUS8861
HR,gene-SMTH1_LOCUS9782
HSPA1A,gene-SMTH1_LOCUS4436
HSPA1A,gene-SMTH1_LOCUS4436
HSPA1B,gene-SMTH1_LOCUS4436
HSPA1B,gene-SMTH1_LOCUS4436
HUWE1,gene-SMTH1_LOCUS5017
HUWE1,gene-SMTH1_LOCUS5017
HUWE1,gene-SMTH1_LOCUS5017
HUWE1,gene-SMTH1_LOCUS9335
HUWE1,gene-SMTH1_LOCUS9752
HUWE1,gene-SMTH1_LOCUS5302
IKBKAP,gene-SMTH1_LOCUS6169
IKZF1,gene-SMTH1_LOCUS10615
ING1,gene-SMTH1_LOCUS4894
ING1,gene-SMTH1_LOCUS10667
ING2,gene-SMTH1_LOCUS4894
ING2,gene-SMTH1_LOCUS10667
ING3,gene-SMTH1_LOCUS4894
ING3,gene-SMTH1_LOCUS10667
ING4,gene-SMTH1_LOCUS4894
ING4,gene-SMTH1_LOCUS10667
ING5,gene-SMTH1_LOCUS4894
ING5,gene-SMTH1_LOCUS10667
INO80,gene-SMTH1_LOCUS509
INO80,gene-SMTH1_LOCUS10333
INO80,gene-SMTH1_LOCUS10167
INO80B,gene-SMTH1_LOCUS9235
INO80B,gene-SMTH1_LOCUS7242
INO80C,gene-SMTH1_LOCUS3103
JADE1,gene-SMTH1_LOCUS4232
JADE1,gene-SMTH1_LOCUS9781
JADE1,gene-SMTH1_LOCUS9781
JADE2,gene-SMTH1_LOCUS4232
JADE2,gene-SMTH1_LOCUS9781
JADE2,gene-SMTH1_LOCUS9781
JADE3,gene-SMTH1_LOCUS4232
JADE3,gene-SMTH1_LOCUS10667
JADE3,gene-SMTH1_LOCUS9781
JAK2,gene-SMTH1_LOCUS10630
JAK2,gene-SMTH1_LOCUS10088
JARID2,gene-SMTH1_LOCUS10293
JARID2,gene-SMTH1_LOCUS9782
JARID2,gene-SMTH1_LOCUS9782
JARID2,gene-SMTH1_LOCUS4605
JDP2,gene-SMTH1_LOCUS10622
JMJD1C,gene-SMTH1_LOCUS9782
JMJD6,gene-SMTH1_LOCUS9782
KANSL1,gene-SMTH1_LOCUS7966
KAT2A,gene-SMTH1_LOCUS10447
KAT2A,gene-SMTH1_LOCUS7735
KAT2A,gene-SMTH1_LOCUS6035
KAT2B,gene-SMTH1_LOCUS10447
KAT2B,gene-SMTH1_LOCUS7735
KAT2B,gene-SMTH1_LOCUS6035
KAT5,gene-SMTH1_LOCUS8586
KAT5,gene-SMTH1_LOCUS10293
KAT6A,gene-SMTH1_LOCUS8586
KAT6A,gene-SMTH1_LOCUS10667
KAT7,gene-SMTH1_LOCUS8586
KAT7,gene-SMTH1_LOCUS9990
KAT8,gene-SMTH1_LOCUS8586
KAT8,gene-SMTH1_LOCUS10293
KDM1A,gene-SMTH1_LOCUS10554
KDM1A,gene-SMTH1_LOCUS6538
KDM1B,gene-SMTH1_LOCUS10554
KDM1B,gene-SMTH1_LOCUS8522
KDM2A,gene-SMTH1_LOCUS10654
KDM2A,gene-SMTH1_LOCUS9782
KDM2A,gene-SMTH1_LOCUS3702
KDM2B,gene-SMTH1_LOCUS8242
KDM2B,gene-SMTH1_LOCUS10654
KDM2B,gene-SMTH1_LOCUS3702
KDM3A,gene-SMTH1_LOCUS9782
KDM3B,gene-SMTH1_LOCUS9782
KDM4A,gene-SMTH1_LOCUS9782
KDM4A,gene-SMTH1_LOCUS9782
KDM4A,gene-SMTH1_LOCUS9781
KDM4A,gene-SMTH1_LOCUS9781
KDM4B,gene-SMTH1_LOCUS9782
KDM4B,gene-SMTH1_LOCUS9782
KDM4B,gene-SMTH1_LOCUS9781
KDM4B,gene-SMTH1_LOCUS9781
KDM4C,gene-SMTH1_LOCUS9782
KDM4C,gene-SMTH1_LOCUS9782
KDM4C,gene-SMTH1_LOCUS9781
KDM4C,gene-SMTH1_LOCUS9781
KDM4D,gene-SMTH1_LOCUS9782
KDM4D,gene-SMTH1_LOCUS9782
KDM4E,gene-SMTH1_LOCUS9782
KDM4E,gene-SMTH1_LOCUS9782
KDM5A,gene-SMTH1_LOCUS10293
KDM5A,gene-SMTH1_LOCUS9782
KDM5A,gene-SMTH1_LOCUS9782
KDM5A,gene-SMTH1_LOCUS10667
KDM5A,gene-SMTH1_LOCUS4605
KDM5A,gene-SMTH1_LOCUS4605
KDM5B,gene-SMTH1_LOCUS10293
KDM5B,gene-SMTH1_LOCUS9782
KDM5B,gene-SMTH1_LOCUS9782
KDM5B,gene-SMTH1_LOCUS10667
KDM5B,gene-SMTH1_LOCUS4605
KDM5B,gene-SMTH1_LOCUS4605
KDM5C,gene-SMTH1_LOCUS10293
KDM5C,gene-SMTH1_LOCUS9782
KDM5C,gene-SMTH1_LOCUS9782
KDM5C,gene-SMTH1_LOCUS10667
KDM5C,gene-SMTH1_LOCUS4605
KDM5C,gene-SMTH1_LOCUS4605
KDM5D,gene-SMTH1_LOCUS10293
KDM5D,gene-SMTH1_LOCUS9782
KDM5D,gene-SMTH1_LOCUS9782
KDM5D,gene-SMTH1_LOCUS10667
KDM5D,gene-SMTH1_LOCUS4605
KDM5D,gene-SMTH1_LOCUS4605
KDM6A,gene-SMTH1_LOCUS9782
KDM6A,gene-SMTH1_LOCUS10675
KDM6A,gene-SMTH1_LOCUS10675
KDM6A,gene-SMTH1_LOCUS10675
KDM6B,gene-SMTH1_LOCUS9782
KDM7A,gene-SMTH1_LOCUS10667
KDM7A,gene-SMTH1_LOCUS9782
KDM8,gene-SMTH1_LOCUS8242
KEAP1,gene-SMTH1_LOCUS10226
KEAP1,gene-SMTH1_LOCUS10226
KEAP1,gene-SMTH1_LOCUS10244
KMT2A,gene-SMTH1_LOCUS6033
KMT2A,gene-SMTH1_LOCUS6033
KMT2A,gene-SMTH1_LOCUS10667
KMT2A,gene-SMTH1_LOCUS10661
KMT2A,gene-SMTH1_LOCUS3702
KMT2A,gene-SMTH1_LOCUS9781
KMT2B,gene-SMTH1_LOCUS6033
KMT2B,gene-SMTH1_LOCUS6033
KMT2B,gene-SMTH1_LOCUS10667
KMT2B,gene-SMTH1_LOCUS10661
KMT2B,gene-SMTH1_LOCUS3702
KMT2B,gene-SMTH1_LOCUS9781
KMT2C,gene-SMTH1_LOCUS6033
KMT2C,gene-SMTH1_LOCUS6033
KMT2C,gene-SMTH1_LOCUS10667
KMT2C,gene-SMTH1_LOCUS10661
KMT2C,gene-SMTH1_LOCUS9781
KMT2D,gene-SMTH1_LOCUS6033
KMT2D,gene-SMTH1_LOCUS6033
KMT2D,gene-SMTH1_LOCUS10667
KMT2D,gene-SMTH1_LOCUS10661
KMT2D,gene-SMTH1_LOCUS9781
KMT2E,gene-SMTH1_LOCUS10667
KMT2E,gene-SMTH1_LOCUS10661
L3MBTL1,gene-SMTH1_LOCUS9327
L3MBTL1,gene-SMTH1_LOCUS10460
L3MBTL1,gene-SMTH1_LOCUS9990
L3MBTL2,gene-SMTH1_LOCUS9327
L3MBTL3,gene-SMTH1_LOCUS9327
L3MBTL3,gene-SMTH1_LOCUS10460
L3MBTL4,gene-SMTH1_LOCUS9327
L3MBTL4,gene-SMTH1_LOCUS10460
L3MBTL4,gene-SMTH1_LOCUS9990
LAS1L,gene-SMTH1_LOCUS9812
LEO1,gene-SMTH1_LOCUS2035
LRWD1,gene-SMTH1_LOCUS7356
LRWD1,gene-SMTH1_LOCUS10588
MAGOH,gene-SMTH1_LOCUS9240
MAP3K7,gene-SMTH1_LOCUS10630
MAPKAPK3,gene-SMTH1_LOCUS10630
MASTL,gene-SMTH1_LOCUS10630
MAX,gene-SMTH1_LOCUS9992
MAZ,gene-SMTH1_LOCUS10615
MAZ,gene-SMTH1_LOCUS10615
MAZ,gene-SMTH1_LOCUS10615
MBD1,gene-SMTH1_LOCUS5900
MBD1,gene-SMTH1_LOCUS3702
MBD2,gene-SMTH1_LOCUS5900
MBD2,gene-SMTH1_LOCUS4019
MBD3,gene-SMTH1_LOCUS5900
MBD3,gene-SMTH1_LOCUS4019
MBD4,gene-SMTH1_LOCUS5158
MBD4,gene-SMTH1_LOCUS5900
MBNL1,gene-SMTH1_LOCUS10542
MBNL3,gene-SMTH1_LOCUS10542
MBTD1,gene-SMTH1_LOCUS9327
MCRS1,gene-SMTH1_LOCUS10336
MCRS1,gene-SMTH1_LOCUS4034
MDC1,gene-SMTH1_LOCUS10336
MEAF6,gene-SMTH1_LOCUS5018
MECP2,gene-SMTH1_LOCUS5900
MEN1,gene-SMTH1_LOCUS10506
METTL11B,gene-SMTH1_LOCUS255
METTL14,gene-SMTH1_LOCUS7177
METTL16,gene-SMTH1_LOCUS4512
METTL21A,gene-SMTH1_LOCUS9491
METTL3,gene-SMTH1_LOCUS7177
METTL4,gene-SMTH1_LOCUS7177
MGA,gene-SMTH1_LOCUS9992
MGA,gene-SMTH1_LOCUS7700
MGEA5,gene-SMTH1_LOCUS1502
MINA,gene-SMTH1_LOCUS10602
MIS18A,gene-SMTH1_LOCUS10592
MLLT1,gene-SMTH1_LOCUS9693
MLLT10,gene-SMTH1_LOCUS9781
MLLT10,gene-SMTH1_LOCUS9781
MLLT6,gene-SMTH1_LOCUS9781
MORF4L1,gene-SMTH1_LOCUS1075
MORF4L1,gene-SMTH1_LOCUS10293
MORF4L2,gene-SMTH1_LOCUS1075
MPHOSPH8,gene-SMTH1_LOCUS10644
MPHOSPH8,gene-SMTH1_LOCUS10167
MPND,gene-SMTH1_LOCUS9807
MPND,gene-SMTH1_LOCUS1584
MRGBP,gene-SMTH1_LOCUS8245
MSH6,gene-SMTH1_LOCUS8515
MSH6,gene-SMTH1_LOCUS8515
MSH6,gene-SMTH1_LOCUS9821
MSH6,gene-SMTH1_LOCUS9821
MSH6,gene-SMTH1_LOCUS9821
MSH6,gene-SMTH1_LOCUS8051
MSL1,gene-SMTH1_LOCUS7966
MSL3,gene-SMTH1_LOCUS1075
MSL3,gene-SMTH1_LOCUS10293
MST1,gene-SMTH1_LOCUS6704
MST1,gene-SMTH1_LOCUS1683
MST1,gene-SMTH1_LOCUS7449
MTA1,gene-SMTH1_LOCUS8088
MTA1,gene-SMTH1_LOCUS8746
MTA1,gene-SMTH1_LOCUS9337
MTA2,gene-SMTH1_LOCUS8088
MTA2,gene-SMTH1_LOCUS8746
MTA2,gene-SMTH1_LOCUS9337
MTA3,gene-SMTH1_LOCUS8088
MTA3,gene-SMTH1_LOCUS8746
MTA3,gene-SMTH1_LOCUS9337
MYBBP1A,gene-SMTH1_LOCUS1640
MYSM1,gene-SMTH1_LOCUS9807
MYSM1,gene-SMTH1_LOCUS9735
MYSM1,gene-SMTH1_LOCUS6538
NAA60,gene-SMTH1_LOCUS10447
NAP1L1,gene-SMTH1_LOCUS10435
NAP1L2,gene-SMTH1_LOCUS10435
NAP1L4,gene-SMTH1_LOCUS10435
NASP,gene-SMTH1_LOCUS9694
NASP,gene-SMTH1_LOCUS10675
NAT10,gene-SMTH1_LOCUS1609
NAT10,gene-SMTH1_LOCUS1609
NAT10,gene-SMTH1_LOCUS2398
NAT10,gene-SMTH1_LOCUS1609
NAT10,gene-SMTH1_LOCUS1609
NAT10,gene-SMTH1_LOCUS1609
NAT10,gene-SMTH1_LOCUS2398
NAT10,gene-SMTH1_LOCUS1609
NCL,gene-SMTH1_LOCUS10660
NCOR1,gene-SMTH1_LOCUS9735
NCOR2,gene-SMTH1_LOCUS9735
NEK6,gene-SMTH1_LOCUS10630
NEK9,gene-SMTH1_LOCUS10630
NEK9,gene-SMTH1_LOCUS9893
NFYB,gene-SMTH1_LOCUS10472
NFYC,gene-SMTH1_LOCUS10472
NIPBL,gene-SMTH1_LOCUS9518
NIPBL,gene-SMTH1_LOCUS9518
